K,level,seed,success,time_sec,nodes,iterations,path_len_joint
9,3,1,1,0.0,2,0,3.0
9,3,2,1,0.0,2,0,3.0
9,3,3,1,0.0,2,0,3.0
9,3,4,1,0.0,2,0,3.0
9,4,0,1,0.0,2,0,3.0
9,4,1,1,0.0,2,0,3.0
9,4,2,1,0.0,2,0,3.0
9,4,3,1,0.0,2,0,3.0
9,4,4,1,0.0,2,0,3.0
10,0,0,1,0.0,2,0,3.1622776985168457
10,0,1,1,0.0,2,0,3.1622776985168457
10,0,2,1,0.0,2,0,3.1622776985168457
10,0,3,1,0.0,2,0,3.1622776985168457
10,0,4,1,0.0,2,0,3.1622776985168457
10,1,0,1,0.0,2,0,3.1622776985168457
10,1,1,1,0.0,2,0,3.1622776985168457
10,1,2,1,0.0,2,0,3.1622776985168457
10,1,3,1,0.0,2,0,3.1622776985168457
10,1,4,1,0.0,2,0,3.1622776985168457
10,2,0,1,0.0,2,0,3.1622776985168457
10,2,1,1,0.0,2,0,3.1622776985168457
10,2,2,1,0.0,2,0,3.1622776985168457
10,2,3,1,0.0,2,0,3.1622776985168457
10,2,4,1,0.0,2,0,3.1622776985168457
10,3,0,1,0.0,2,0,3.1622776985168457
10,3,1,1,0.0,2,0,3.1622776985168457
10,3,2,1,0.0,2,0,3.1622776985168457
10,3,3,1,0.0,2,0,3.1622776985168457
10,3,4,1,0.0,2,0,3.1622776985168457
10,4,0,1,0.0,2,0,3.1622776985168457
10,4,1,1,0.0,2,0,3.1622776985168457
10,4,2,1,0.0,2,0,3.1622776985168457
10,4,3,1,0.0,2,0,3.1622776985168457
10,4,4,1,0.0,2,0,3.1622776985168457
11,0,0,1,0.0,2,0,3.316624879837036
11,0,1,1,0.0,2,0,3.316624879837036
11,0,2,1,0.0,2,0,3.316624879837036
11,0,3,1,0.0,2,0,3.316624879837036
11,0,4,1,0.0,2,0,3.316624879837036
11,1,0,1,0.0,2,0,3.316624879837036
11,1,1,1,0.0,2,0,3.316624879837036
11,1,2,1,0.0,2,0,3.316624879837036
11,1,3,1,0.0,2,0,3.316624879837036
11,1,4,1,0.0,2,0,3.316624879837036
11,2,0,1,0.0,2,0,3.316624879837036
11,2,1,1,0.0,2,0,3.316624879837036
11,2,2,1,0.0,2,0,3.316624879837036
11,2,3,1,0.0,2,0,3.316624879837036
11,2,4,1,0.0,2,0,3.316624879837036
11,3,0,1,0.0,2,0,3.316624879837036
11,3,1,1,0.0,2,0,3.316624879837036
11,3,2,1,0.0,2,0,3.316624879837036
11,3,3,1,0.0,2,0,3.316624879837036
11,3,4,1,0.0,2,0,3.316624879837036
11,4,0,1,0.0,2,0,3.316624879837036
11,4,1,1,0.0,2,0,3.316624879837036
11,4,2,1,0.0,2,0,3.316624879837036
11,4,3,1,0.0,2,0,3.316624879837036
11,4,4,1,0.0,2,0,3.316624879837036
12,0,0,1,0.0,2,0,3.464101552963257
12,0,1,1,0.0,2,0,3.464101552963257
12,0,2,1,0.0,2,0,3.464101552963257
12,0,3,1,0.0,2,0,3.464101552963257
12,0,4,1,0.0,2,0,3.464101552963257
12,1,0,1,0.0,2,0,3.464101552963257
12,1,1,1,0.0,2,0,3.464101552963257
12,1,2,1,0.0,2,0,3.464101552963257
12,1,3,1,0.0,2,0,3.464101552963257
12,1,4,1,0.0,2,0,3.464101552963257
12,2,0,1,0.0,2,0,3.464101552963257
12,2,1,1,0.0,2,0,3.464101552963257
12,2,2,1,0.0,2,0,3.464101552963257
12,2,3,1,0.0,2,0,3.464101552963257
12,2,4,1,0.0,2,0,3.464101552963257
12,3,0,1,0.0,2,0,3.464101552963257
12,3,1,1,0.0,2,0,3.464101552963257
12,3,2,1,0.0,2,0,3.464101552963257
12,3,3,1,0.0,2,0,3.464101552963257
12,3,4,1,0.0,2,0,3.464101552963257
12,4,0,1,0.0,2,0,3.464101552963257
12,4,1,1,0.0,2,0,3.464101552963257
12,4,2,1,0.0,2,0,3.464101552963257
12,4,3,1,0.0,2,0,3.464101552963257
12,4,4,1,0.0,2,0,3.464101552963257
